generation,mean_fitness,distance_from_optimum,phenotype_variance,population_size,n_parents,median_offspring,max_offspring,extinct
0,0.6837838854498289,0.010664153069508424,0.004239738844502509,100,62,1.0,4,0
1,0.7091520338056276,0.02743025766931041,0.0034007149655007384,100,62,1.0,4,0
2,0.738988898505376,0.03824389228818402,0.0024482060726975104,100,67,1.0,5,0
3,0.7452174902600245,0.037625099567296906,0.0024677197779075155,100,62,1.0,4,0
4,0.7747487734570387,0.03652090913432781,0.0020493226058977826,100,63,1.0,3,0
5,0.7697274343884483,0.03981004297567272,0.0019679749456527535,100,65,1.0,4,0
6,0.7796848196318226,0.031860728772110096,0.002212958142215729,100,66,1.0,3,0
7,0.8112919720861927,0.031332501412393444,0.0017574467100006331,100,63,1.0,5,0
8,0.8141919393577136,0.03574841015032197,0.0015397449649875968,100,66,1.0,5,0
9,0.8110600554070847,0.033545585278521486,0.0016343270616351532,100,63,1.0,4,0
10,0.8295985087492812,0.03974230710418643,0.0011799204115446127,100,65,1.0,4,0
11,0.829033142026738,0.03680795026385342,0.0012798567657780289,100,66,1.0,5,0
12,0.8142167568506609,0.04259387964320511,0.0012808593701306725,100,56,2.0,4,0
13,0.7920716331249911,0.04885347221016981,0.0012711250166187532,100,72,1.0,4,0
14,0.7640604956663978,0.0573214747743623,0.0012351282096907414,100,65,1.0,4,0
15,0.7610041130743932,0.06223767152232594,0.0010081664482911557,100,62,1.0,4,0
16,0.7730094784078184,0.06093835654135034,0.0009325084508460172,100,61,1.0,6,0
17,0.7573977064219364,0.06281051565157889,0.0010862612094865007,100,63,1.0,3,0
18,0.7184911920315646,0.07234098224105753,0.0009622640205533882,100,61,1.0,4,0
19,0.6951971237471918,0.07821380952356924,0.0008876723543984201,100,62,1.0,5,0
20,0.6759115999013287,0.083276250056727,0.0007552421680037726,100,61,1.0,4,0
21,0.6445513725967014,0.0901472411204727,0.0005638270484950045,100,67,1.0,5,0
22,0.6037785895623852,0.0973705849517033,0.00043147538016270097,100,62,1.0,4,0
23,0.5113467232188885,0.11298796095058339,0.0005416439919389866,100,65,1.0,5,0
24,0.41548238914176133,0.13127023592298734,0.000545424178502242,100,59,1.0,7,0
25,0.38787593871316806,0.1364017764748501,0.0007090397622827823,100,64,1.0,3,0
26,0.37636614998300694,0.13755586616454962,0.0008789698512975593,100,66,1.0,4,0
27,0.3185293695550536,0.15015894708121372,0.0011234795429411603,100,64,1.0,4,0
28,0.3528437524297894,0.14418854603447603,0.0010847001191202038,100,68,1.0,4,0
29,0.34165105387952954,0.14712380023548374,0.000984037122260392,100,60,1.0,6,0
30,0.34999142808787675,0.14572080719812555,0.0006103859903770614,100,60,1.0,5,0
31,0.2953674017978639,0.15676972771874217,0.0003633813643438903,100,63,1.0,5,0
32,0.24874101172817756,0.16613798887051204,0.0003636022280170283,100,60,1.0,4,0
33,0.19786988911225176,0.18058215165985797,0.0002237613233945286,100,62,1.0,4,0
34,0.15667495157433334,0.19414472558634469,0.00032429528650863366,100,64,1.0,4,0
35,0.13086898179061338,0.2045613636600507,0.0005301145779017866,100,68,1.0,5,0
36,0.1349828742805833,0.20144227229802877,0.0004279051271119557,100,63,1.0,5,0
37,0.10730898717659913,0.21268466383555826,0.0002210989386177575,100,64,1.0,5,0
38,0.096190068035167,0.21875830882815547,0.00025105799773647233,100,60,1.0,4,0
39,0.08142027928866609,0.22919555885253914,0.0005134780238311644,100,62,1.0,4,0
40,0.14514285803011798,0.19917155480087426,0.0006569601964995549,100,69,1.0,3,0
41,0.17311882807082513,0.18538779852420534,0.0013843843424449268,100,66,1.0,3,0
42,0.16246834677599625,0.1892416416986861,0.0015793588111665943,100,64,1.0,5,0
43,0.15627173091602545,0.19082668440237263,0.0014216475161451816,100,63,1.0,5,0
44,0.16019574839206935,0.19454682850614186,0.001971137622044172,100,67,1.0,4,0
45,0.2240052975000841,0.17546365290826949,0.0018687196240802966,100,66,1.0,4,0
46,0.249964697484245,0.1681422490461937,0.0008046829391203556,100,63,1.0,4,0
47,0.21024580238819612,0.17504119829584572,0.0005843195081937986,100,60,1.0,4,0
48,0.1600629961466979,0.19088787365974888,0.00043704472059682384,100,64,1.0,3,0
49,0.1219666585346681,0.20478272253326069,0.0006438313825594827,100,65,1.0,5,0
50,0.10960103288111789,0.21601614083801354,0.0009704532740697756,100,62,1.0,5,0
51,0.21301048036426423,0.1806039961840591,0.0010685120093802262,100,64,1.0,5,0
52,0.2034489614104924,0.1788649133796516,0.00026649378811849486,100,64,1.0,5,0
53,0.14073170522904482,0.19899605247448623,0.00027656096891141553,100,63,1.0,4,0
54,0.10146597329137858,0.21444940679353497,0.00016949430515320478,100,62,1.0,4,0
55,0.08252844149954756,0.2264103476297181,0.0004490725496069551,100,62,2.0,3,0
56,0.10880175889265939,0.21386509999577732,0.001024443249694364,100,62,1.0,4,0
