generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
0,0.6735759407880908,0.03327190827842944,0.017150382811648112,0.007381453416786999,0.004638958459681004,0.0006847424499837606,100.0,0.0,63.0,2.9154759474226504,1.15,0.3570714214271425,4.25,0.6224949798994366,0
1,0.7406084129783939,0.038180703901257995,0.020447827365271,0.009399518959110297,0.0032438765731386287,0.0005959013140683347,100.0,0.0,63.8,1.9899748742132402,1.0,0.0,4.35,0.6538348415311012,0
2,0.7872912238713299,0.03583265083856057,0.0204952623519805,0.011481362072424083,0.002473048731189002,0.0004751203825741799,100.0,0.0,63.75,2.947456530637899,1.05,0.2179449471770337,4.05,0.4974937185533099,0
3,0.8147904662918929,0.04249286518843749,0.026779563136817165,0.013527327174138374,0.001899090874531282,0.0005311615874900971,100.0,0.0,62.2,3.1080540535840107,1.125,0.3112474899497183,4.2,0.6782329983125269,0
4,0.8295913128685148,0.046377295974531385,0.03092786908694219,0.01460283909781166,0.001509108014290354,0.0005617793726628638,100.0,0.0,63.1,2.3853720883753127,1.05,0.21794494717703372,4.2,0.9797958971132711,0
5,0.828817984687307,0.048365202041814756,0.037769017554423204,0.0141448115310102,0.0012535863559925548,0.00041253764518047007,100.0,0.0,63.6,2.8530685235374214,1.05,0.21794494717703372,4.55,0.9733961166965892,0
6,0.8127745800901447,0.053018279972620756,0.04586281532787129,0.014996884352179593,0.001101344246163221,0.0003921315905758635,100.0,0.0,63.55,2.4181604578687494,1.075,0.23848480035423641,4.15,0.6538348415311012,0
7,0.7906831536673857,0.052369033812023916,0.05315224049317209,0.012286523798277956,0.001050628477627089,0.000359864442873221,100.0,0.0,64.05,2.9744747435471695,1.05,0.2179449471770337,4.0,0.5477225575051661,0
8,0.7658746559193469,0.05544274601390844,0.06002078565946757,0.011320871392502135,0.0010167721625843882,0.0003545009569855568,100.0,0.0,64.25,2.118372016431486,1.025,0.10897247358851683,4.3,0.9,0
9,0.7363517367803165,0.0616091979767732,0.06649583247234393,0.01151672274992849,0.0010668745238026074,0.00040446348556896756,100.0,0.0,63.7,2.5317977802344327,1.025,0.10897247358851683,4.4,0.9695359714832658,0
10,0.70767812232603,0.05910329337069584,0.07243826007971182,0.01129768012292194,0.0010824103213908222,0.00046652149090212414,100.0,0.0,63.1,2.681417535558384,1.125,0.3112474899497183,4.25,0.698212002188447,0
11,0.6820412883855791,0.05804628746462759,0.07792638276358502,0.011458109768106637,0.0011153635194697045,0.0004931956903494716,100.0,0.0,64.7,2.3473389188611007,1.0,0.0,4.25,1.0428326807307104,0
12,0.670525797501589,0.06387433587845469,0.08039756355557497,0.013033149614371561,0.001119521652032487,0.0003738151355868185,100.0,0.0,63.15,3.902242944769072,1.2,0.3674234614174767,3.95,0.49749371855331004,0
13,0.6609602726076214,0.07300703961203306,0.08336809073527991,0.014151119429488863,0.0009982967786856835,0.0003631361081209575,100.0,0.0,62.4,3.916631205513228,1.15,0.3570714214271425,4.45,0.5894913061275798,0
14,0.6363687749095643,0.07955473399904606,0.0881931241085274,0.015072676658177698,0.0010001716141570939,0.0004468431076857428,100.0,0.0,62.5,3.427827300200522,1.075,0.23848480035423641,4.15,0.6538348415311012,0
15,0.6258818226994383,0.08543876560710377,0.08945563540549942,0.01636141950176625,0.001067241280101719,0.0004250854230421871,100.0,0.0,62.7,2.8653097563788807,1.1,0.2549509756796392,4.4,0.6633249580710799,0
16,0.6280518919629552,0.09946120890467945,0.08876715134693083,0.01972161189709987,0.0010935005056245393,0.00038335349384908057,100.0,0.0,64.15,3.2905166767545793,1.05,0.21794494717703372,4.0,0.8366600265340756,0
17,0.6130957989211941,0.10838589122257557,0.09151125509293809,0.020916711510568075,0.0011378636509762805,0.0003501503744319248,100.0,0.0,63.65,2.5937424698685874,1.05,0.21794494717703372,3.85,0.3570714214271425,0
18,0.6087554413883922,0.1274204253445302,0.0931900366479479,0.024147263261505462,0.0009966890176086893,0.00027236057184741434,100.0,0.0,63.75,2.662235902394827,1.05,0.21794494717703372,4.2,0.8717797887081348,0
19,0.5906594473105838,0.13604966875326982,0.09708006400576989,0.025905118785237588,0.0009052629773331053,0.00029229867985633065,100.0,0.0,63.1,3.766961640367472,1.1,0.3,4.4,0.6633249580710799,0
20,0.5717317444613771,0.1373972468450272,0.1013010220321201,0.025755617176018073,0.0008651890407196286,0.00032897586670411306,100.0,0.0,62.5,2.5592967784139455,1.0,0.0,4.25,0.6224949798994366,0
21,0.553259446891952,0.13902790445035004,0.1051527429161007,0.026166801205090795,0.000818028024329754,0.0004047628592336611,100.0,0.0,64.4,2.615339366124404,1.025,0.10897247358851683,4.15,0.653834841531101,0
